fips,confirmed,deaths,active,population,rate_confirmed,rate_death
01001,2210.0,31.0,2166.0,52077.0,4243.716035869962,59.527238512203084
01003,7054.0,74.0,6921.0,177131.0,3982.3633356103674,41.77698991142149
01005,1077.0,9.0,1065.0,28560.0,3771.0084033613443,31.51260504201681
01007,900.0,15.0,875.0,22189.0,4056.063815404029,67.60106359006716
01009,2204.0,25.0,2137.0,57063.0,3862.3977007868493,43.81122618859857
01011,658.0,17.0,640.0,10915.0,6028.401282638571,155.74896930829132
01013,1032.0,41.0,988.0,20568.0,5017.502917152859,199.33877868533642
01015,4996.0,65.0,4886.0,115770.0,4315.453053468083,56.14580634015721
01017,1449.0,47.0,1381.0,34459.0,4204.997243100496,136.39397544908442
01019,819.0,15.0,793.0,25208.0,3248.9685814027293,59.504919073310056
01021,1976.0,33.0,1929.0,42957.0,4599.948785995298,76.8210070535652
01023,397.0,12.0,384.0,14044.0,2826.829962973512,85.4457419538593
01025,1414.0,17.0,1392.0,26135.0,5410.369236655826,65.0468720107136
01027,793.0,13.0,772.0,13850.0,5725.631768953069,93.86281588447653
01029,605.0,9.0,581.0,14775.0,4094.754653130288,60.91370558375635
01031,1909.0,11.0,1882.0,48375.0,3946.25322997416,22.739018087855296
01033,2357.0,32.0,2304.0,54487.0,4325.802484996421,58.729605226934865
01035,590.0,13.0,571.0,13171.0,4479.538379773745,98.7016931136588
01037,234.0,3.0,225.0,11158.0,2097.150026886539,26.88653880623768
01039,1901.0,30.0,1865.0,37226.0,5106.645892655671,80.58883575995272
01041,629.0,30.0,596.0,13796.0,4559.292548564801,217.45433458973616
01043,2947.0,25.0,2890.0,80518.0,3660.051168682779,31.048957996969623
01045,1972.0,52.0,1903.0,49242.0,4004.7114252061247,105.6009097924536
01047,1942.0,27.0,1897.0,43284.0,4486.646335828482,62.378708067646244
01049,3768.0,30.0,3691.0,69646.0,5410.217385061597,43.07497918042673
01051,3362.0,59.0,3283.0,78008.0,4309.814378012512,75.63326838272998
01053,1799.0,31.0,1754.0,37940.0,4741.69741697417,81.70795993674223
01055,4704.0,54.0,4524.0,103790.0,4532.228538394836,52.02813373157336
01057,627.0,15.0,601.0,17446.0,3593.9470365699876,85.97959417631549
01059,2197.0,32.0,2160.0,31275.0,7024.780175859313,102.31814548361312
01061,993.0,7.0,978.0,26295.0,3776.3833428408443,26.621030614185205
01063,353.0,17.0,334.0,9078.0,3888.5217008151576,187.26591760299627
01065,815.0,30.0,771.0,16877.0,4829.057296912959,177.75671031581442
01067,765.0,6.0,751.0,16941.0,4515.672038250398,35.41703559412077
01069,4382.0,35.0,4306.0,99319.0,4412.046033488054,35.23998429303557
01071,2374.0,19.0,2344.0,53062.0,4474.011533677584,35.80716897214579
01073,24866.0,388.0,24366.0,660339.0,3765.641587124189,58.757698697184324
01075,538.0,7.0,526.0,14501.0,3710.0889593821116,48.27253292876353
01077,2820.0,43.0,2755.0,90629.0,3111.5867989274957,47.44618168577387
01079,971.0,33.0,925.0,34216.0,2837.8536357259763,96.44610708440496
01081,6770.0,65.0,6684.0,135458.0,4997.859115002437,47.985353393671836
01083,3207.0,34.0,3132.0,78429.0,4089.0486937229853,43.35131137716916
01085,734.0,29.0,704.0,11965.0,6134.559130798161,242.37358963643962
01087,587.0,21.0,551.0,21878.0,2683.060608830789,95.98683609105038
01089,9929.0,101.0,9792.0,324429.0,3060.4539051687734,31.13161893665486
01091,1072.0,24.0,1045.0,21118.0,5076.2382801401645,113.64712567477982
01093,1172.0,31.0,1119.0,30095.0,3894.3346070775874,103.00714404386112
01095,4671.0,53.0,4565.0,90472.0,5162.9233353965865,58.58166062428155
01097,17487.0,323.0,17083.0,409161.0,4273.867743993196,78.9420301543891
01099,676.0,10.0,664.0,22929.0,2948.2314972305817,43.612891970866585
01101,10868.0,211.0,10603.0,226866.0,4790.493066391614,93.00644433277795
01103,4664.0,37.0,4557.0,117343.0,3974.672541182687,31.531493144030744
01105,608.0,6.0,600.0,10640.0,5714.285714285714,56.390977443609025
01107,958.0,18.0,926.0,19637.0,4878.545602688801,91.6636960839232
01109,1406.0,14.0,1385.0,31517.0,4461.084494082559,44.420471491575974
01111,877.0,16.0,855.0,22708.0,3862.0750396336093,70.45974986788796
01113,2004.0,3.0,2003.0,51488.0,3892.169049098819,5.826600372902424
01115,3353.0,46.0,3252.0,80589.0,4160.6174539949625,57.079750338135476
01117,7950.0,70.0,7800.0,189040.0,4205.459162082098,37.02920016927634
01119,489.0,21.0,468.0,13515.0,3618.201997780244,155.3829078801332
01121,2863.0,38.0,2805.0,81240.0,3524.12604628262,46.77498769079271
01123,1424.0,87.0,1332.0,41197.0,3456.5623710464356,211.18042575915723
01125,10919.0,145.0,10699.0,186705.0,5848.263303071691,77.6626228542353
01127,3050.0,95.0,2897.0,67951.0,4488.528498476844,139.80662536239348
01129,786.0,12.0,767.0,17396.0,4518.280064382617,68.98137502874224
01131,580.0,12.0,567.0,12111.0,4789.034761786806,99.08347783007183
01133,1001.0,13.0,975.0,24337.0,4113.078851132021,53.416608456260015
02013,17.0,0.0,17.0,3050.0,557.377049180328,0.0
02016,101.0,0.0,101.0,5533.0,1825.4111693475509,0.0
02020,8922.0,51.0,8871.0,286107.0,3118.4137403139384,17.82549885182816
02050,524.0,1.0,523.0,17082.0,3067.5564922140265,5.854115443156539
02060,0.0,0.0,0.0,839.0,0.0,0.0
02068,32.0,0.0,32.0,1677.0,1908.169350029815,0.0
02070,63.0,0.0,63.0,4896.0,1286.764705882353,0.0
02090,2394.0,16.0,2378.0,97212.0,2462.6589309961732,16.458873390116448
02100,14.0,0.0,14.0,2466.0,567.72100567721,0.0
02105,,,,2096.0,,
02110,614.0,3.0,611.0,31026.0,1978.985367111455,9.669309611293754
02122,1159.0,4.0,1155.0,54226.0,2137.3510861948143,7.376535241397115
02130,92.0,0.0,92.0,13304.0,691.5213469633194,0.0
02150,124.0,0.0,124.0,13369.0,927.5188869773356,0.0
02164,115.0,0.0,115.0,1515.0,7590.759075907591,0.0
02170,1632.0,3.0,1629.0,85547.0,1907.7232398564531,3.5068441909125974
02180,142.0,0.0,142.0,9415.0,1508.2315454062666,0.0
02185,286.0,0.0,286.0,8073.0,3542.673107890499,0.0
02188,273.0,0.0,273.0,7476.0,3651.6853932584268,0.0
02195,20.0,1.0,19.0,3838.0,521.1047420531527,26.05523710265763
02198,35.0,1.0,34.0,5565.0,628.930817610063,17.969451931716083
02220,83.0,0.0,83.0,8846.0,938.2771874293466,0.0
02230,7.0,0.0,7.0,1019.0,686.9479882237488,0.0
02240,92.0,1.0,91.0,6894.0,1334.4937626921962,14.505366985784741
02261,0.0,0.0,177.0,9582.0,0.0,0.0
02275,19.0,0.0,19.0,2268.0,837.742504409171,0.0
02282,37.0,0.0,37.0,540.0,6851.851851851852,0.0
02290,124.0,2.0,122.0,5700.0,2175.438596491228,35.08771929824561
04001,4042.0,174.0,3868.0,70429.0,5739.113149412884,247.05732013801133
04003,2256.0,75.0,2181.0,129479.0,1742.3674881641039,57.92445106928537
04005,5470.0,149.0,5321.0,130866.0,4179.8480888848135,113.85692234805067
04007,2034.0,72.0,1962.0,52723.0,3857.8988297327537,136.56279043301785
04009,1307.0,31.0,1276.0,36000.0,3630.5555555555557,86.11111111111111
04011,104.0,2.0,102.0,8080.0,1287.128712871287,24.752475247524753
04012,630.0,18.0,612.0,20272.0,3107.734806629834,88.7924230465667
04013,161154.0,3632.0,157522.0,3836319.0,4200.7455584376585,94.6740873217269
04015,4538.0,235.0,4303.0,196587.0,2308.3927217974738,119.53994923367263
04017,6579.0,243.0,6336.0,108953.0,6038.383523170542,223.03194955623067
04019,29141.0,646.0,28495.0,985238.0,2957.762489875543,65.56791353967265
04021,12312.0,228.0,12084.0,335941.0,3664.9292584114473,67.86906034095273
04023,3078.0,65.0,3013.0,44985.0,6842.280760253418,144.49260864732688
04025,3102.0,91.0,3011.0,210199.0,1475.7444136270867,43.29230871697772
04027,14071.0,359.0,13712.0,192367.0,7314.664157573804,186.6224456377653
05001,734.0,20.0,714.0,19202.0,3822.518487657536,104.15581710238517
05003,580.0,13.0,567.0,22095.0,2625.028286942747,58.836840914233996
05005,801.0,11.0,790.0,41490.0,1930.58568329718,26.51241262954929
05007,8747.0,127.0,8620.0,215635.0,4056.3915876365154,58.89581932432119
05009,1114.0,37.0,1077.0,36622.0,3041.8873900933863,101.03216645732074
05011,375.0,8.0,367.0,11737.0,3195.024282184544,68.16051801993694
05013,60.0,0.0,60.0,5389.0,1113.3791055854517,0.0
05015,1056.0,19.0,1037.0,27383.0,3856.4072599788187,69.38611547310374
05017,1057.0,23.0,1034.0,12039.0,8779.798986626796,191.04576792092365
05019,543.0,6.0,537.0,23298.0,2330.6721607004893,25.75328354365182
05021,524.0,15.0,509.0,16064.0,3261.9521912350597,93.37649402390439
05023,506.0,17.0,489.0,25631.0,1974.1719012133742,66.32593343997503
05025,262.0,13.0,249.0,8664.0,3024.0073868882732,150.0461680517082
05027,764.0,22.0,742.0,24422.0,3128.3269183523053,90.08271230857423
05029,360.0,4.0,356.0,20946.0,1718.705242050988,19.096724911677647
05031,5005.0,50.0,4955.0,93958.0,5326.84816620192,53.21526639562357
05033,2224.0,30.0,2194.0,60344.0,3685.5362587829773,49.714967519554556
05035,2561.0,53.0,2508.0,51550.0,4967.992240543162,102.81280310378274
05037,635.0,22.0,613.0,18335.0,3463.321516225798,119.9890919007363
05039,188.0,6.0,182.0,8165.0,2302.5107164727497,73.48438456827924
05041,435.0,7.0,428.0,13372.0,3253.0661082859706,52.348190248279984
05043,444.0,7.0,437.0,18604.0,2386.5835304235648,37.62631692109224
05045,3582.0,41.0,3541.0,108852.0,3290.7066475581523,37.66582148237975
05047,585.0,2.0,583.0,18081.0,3235.4405176704827,11.06133510314695
05049,351.0,10.0,341.0,11972.0,2931.8409622452386,83.5282325425994
05051,2666.0,73.0,2593.0,96154.0,2772.635563783098,75.91987852819435
05053,386.0,4.0,382.0,17698.0,2181.0374053565374,22.601423889705053
05055,1714.0,20.0,1694.0,41140.0,4166.26154594069,48.61448711716091
05057,605.0,5.0,600.0,22851.0,2647.5865388823245,21.880880486630783
05059,2302.0,37.0,2265.0,32272.0,7133.118492811105,114.65047099652949
05061,628.0,14.0,614.0,14021.0,4478.995792026246,99.8502246630055
05063,1541.0,60.0,1481.0,35554.0,4334.252123530404,168.75738313551219
05065,685.0,2.0,683.0,13391.0,5115.375998805168,14.935404376073482
05067,930.0,6.0,924.0,17517.0,5309.128275389621,34.25244048638465
05069,4329.0,102.0,4227.0,78566.0,5510.01705572385,129.82715169411705
05071,1065.0,9.0,1056.0,25058.0,4250.139675951792,35.916673317902465
05073,207.0,3.0,204.0,7680.0,2695.3125,39.0625
05075,902.0,22.0,880.0,17163.0,5255.491464196236,128.18271863893258
05077,1115.0,18.0,1097.0,10600.0,10518.867924528302,169.81132075471697
05079,2339.0,18.0,2321.0,13943.0,16775.44287456071,129.09703794018503
05081,491.0,37.0,454.0,13046.0,3763.60570289744,283.6118350452246
05083,617.0,5.0,612.0,22451.0,2748.207206805933,22.270722907665583
05085,1898.0,34.0,1864.0,65890.0,2880.558506601912,51.601153437547424
05087,450.0,6.0,444.0,15597.0,2885.1702250432777,38.468936333910364
05089,183.0,2.0,181.0,16617.0,1101.2818198230727,12.03586688331227
05091,1663.0,22.0,1641.0,43216.0,3848.1118104405778,50.907071455016656
05093,2448.0,69.0,2379.0,46629.0,5249.951746767034,147.97658109760022
05095,235.0,2.0,233.0,8377.0,2805.3002268115074,23.874895547331977
05097,191.0,8.0,183.0,9275.0,2059.299191374663,86.2533692722372
05099,340.0,14.0,326.0,9160.0,3711.7903930131006,152.83842794759826
05101,327.0,21.0,306.0,8320.0,3930.2884615384614,252.40384615384616
05103,407.0,9.0,398.0,26068.0,1561.301212214209,34.52508823078103
05105,156.0,2.0,154.0,10369.0,1504.4845211688687,19.288263091908572
05107,792.0,16.0,776.0,21879.0,3619.9095022624438,73.12948489419077
05109,278.0,1.0,277.0,11027.0,2521.0846105014966,9.068649678062936
05111,1225.0,27.0,1198.0,24724.0,4954.699886749717,109.20563015693254
05113,385.0,5.0,380.0,20401.0,1887.1623940002942,24.508602519484338
05115,2858.0,37.0,2821.0,60358.0,4735.080685244707,61.300904602538196
05117,252.0,5.0,247.0,8745.0,2881.646655231561,57.17552887364208
05119,12591.0,222.0,12369.0,379133.0,3320.998172145395,58.554649687576656
05121,700.0,26.0,674.0,18013.0,3886.082273913285,144.3401987453506
05123,1813.0,10.0,1803.0,27513.0,6589.612183331516,36.34645440337295
05125,3110.0,36.0,3074.0,101059.0,3077.410225709734,35.62275502429274
05127,235.0,2.0,233.0,11201.0,2098.0269618784037,17.855548611731095
05129,219.0,1.0,218.0,8098.0,2704.371449740677,12.348728081007655
05131,5166.0,103.0,5063.0,123534.0,4181.844674340668,83.37785548917707
05133,1436.0,16.0,1420.0,16787.0,8554.238398760946,95.31184845416097
05135,394.0,10.0,384.0,17476.0,2254.520485236896,57.221332112611584
05137,410.0,22.0,388.0,12157.0,3372.5425680677804,180.96569877436866
05139,1199.0,52.0,1147.0,42398.0,2827.9635831878863,122.6472946837115
05141,217.0,3.0,214.0,16853.0,1287.6045807868036,17.800984987835992
05143,11995.0,155.0,11840.0,198209.0,6051.692910009132,78.20028353909258
05145,1677.0,35.0,1642.0,75457.0,2222.457823661158,46.38403329048332
05147,144.0,0.0,144.0,7468.0,1928.22710230316,0.0
05149,1372.0,32.0,1340.0,22048.0,6222.786647314949,145.1378809869376
06001,24162.0,466.0,23696.0,1483683.0,1628.5149860179029,31.408326441699476
06003,18.0,0.0,16.0,1164.0,1546.3917525773197,0.0
06005,357.0,16.0,341.0,38065.0,937.8694338631287,42.033363982661236
06007,3198.0,54.0,3144.0,218958.0,1460.5540788644398,24.66226399583482
06009,361.0,21.0,333.0,46063.0,783.7092677420054,45.58973579662636
06011,572.0,6.0,566.0,21210.0,2696.841112682697,28.28854314002829
06013,19408.0,247.0,19092.0,1032298.0,1880.0772645108293,23.927199316476443
06015,194.0,1.0,192.0,28669.0,676.6891067006173,3.4880881788691616
06017,1444.0,4.0,1425.0,178499.0,808.9681174684453,2.240908912654973
06019,31738.0,447.0,31291.0,910600.0,3485.3942455523834,49.08851306830661
06021,707.0,3.0,699.0,28006.0,2524.459044490466,10.711990287795473
